label,feature,mean,std,q10,q25,q50,q75,q90,min,max
c,pinky_dip_angle,0.8843879054528688,0.04880605403479318,0.8148897180429178,0.8541751194274275,0.8838245872927526,0.9193611863485566,0.9506611271105675,0.7429289858173137,0.9981219928872008
c,thumb_index_tip_distance,0.637522282746165,0.19008569420699545,0.42257732748985294,0.5045531988143921,0.616291731595993,0.756388247013092,0.9004420697689055,0.155223861336708,1.4316470623016355
c,index_middle_tip_distance,0.10922628816368048,0.07397695599147683,0.04967307038605211,0.06963148526847357,0.098000768572092,0.13013514876365662,0.17110291868448257,0.0066058998927474,0.8588050603866577
c,middle_ring_tip_distance,0.09359510664862933,0.061908058451411146,0.038620088249444885,0.05653590615838765,0.0814150609076023,0.11160320974886412,0.1517209261655807,0.0070238285697996,0.6034740209579468
c,ring_pinky_tip_distance,0.19201751275574122,0.07355490192410018,0.11594412326812739,0.1429754048585891,0.18353816121816635,0.22082993760704994,0.274626225233078,0.0521306544542312,0.6892419457435608
c,thumb_middle_tip_distance,0.6706117456343687,0.19426321517940037,0.4540122836828232,0.5470098406076431,0.6442102193832397,0.7853226512670517,0.9246320068836212,0.1395784467458725,1.6732299327850342
c,thumb_ring_tip_distance,0.6922735240182772,0.21260703790101657,0.4628973841667175,0.5507517009973526,0.6619682610034943,0.8285016268491745,0.9512300491333008,0.1533431708812713,2.271237134933472
c,thumb_pinky_tip_distance,0.6865913708726193,0.2305455733453376,0.44889354109764096,0.5250300168991089,0.654256671667099,0.8147282302379608,0.9554273128509522,0.1195966005325317,2.72105073928833
d,thumb_cmc_angle,0.76074650427505,0.05328098710860423,0.7026536605640903,0.7237575878314987,0.7509303509294103,0.784076490199711,0.8374385010984274,0.651504898614868,0.97465382641618
d,thumb_mcp_angle,0.9053693453218,0.044402194313981624,0.8459538753460599,0.8779460213902983,0.9109232554586989,0.9350353896849717,0.959898603096983,0.7257743756074797,0.9985092168149148
d,thumb_ip_angle,0.9394746429248311,0.0513779692864339,0.8806294411292876,0.9147713227505357,0.9520424991028137,0.9733452915367747,0.9852812436193024,0.517974357034757,0.9989690283974744
d,index_pip_angle,0.9181803484368284,0.10458114810650908,0.7981416964725275,0.9215782584357364,0.950968630012546,0.9707431060241396,0.9833942614354683,0.3256242163246972,0.998567053405807
d,index_dip_angle,0.9529414300697754,0.05868199142282372,0.8869446223919315,0.9578410038899607,0.9723686590188316,0.9806454954944777,0.9862728418050487,0.5689489508387341,0.9991849455168642
d,middle_pip_angle,0.6140682073626351,0.09878324970470748,0.5174915138303612,0.5480186683432137,0.6054543902467371,0.6654434803657734,0.7245557755005767,0.1547461468462186,0.9807027666624692
d,middle_dip_angle,0.79088508088748,0.06341143891246583,0.7263437438750459,0.7525662540575219,0.7832865883160132,0.8280459753331635,0.8703878810424112,0.5767425378389721,0.9955154807990356
d,ring_pip_angle,0.580630301361295,0.11890883037042825,0.45749139549480977,0.5056779320265039,0.5708536707597249,0.640099488066558,0.7142291608646837,0.0197151519204499,0.9899695694124506
d,ring_dip_angle,0.7643698320870402,0.07568857204116793,0.6809025733001898,0.7162563917867247,0.7574234217497811,0.807996077733954,0.8648695798915476,0.4328073907946428,0.9928782426438624
d,pinky_pip_angle,0.6651479668062319,0.14949172173093483,0.4773059452831371,0.5698596992092628,0.6642643908481384,0.7478632437505285,0.9000964020292221,0.0811548888272372,0.983040306268734
d,pinky_dip_angle,0.7274432969049671,0.10791241079860013,0.6389601623507766,0.6767411729684581,0.7128841014023475,0.7744063502522703,0.8769619191118426,0.1914771967922192,0.9957605467286812
d,thumb_index_tip_distance,1.4758940490797676,0.46465737435711385,0.6810886204242707,1.3372797071933749,1.5739303231239319,1.7737458944320679,1.9447652697563176,0.1019857749342918,2.2422754764556885
d,index_middle_tip_distance,1.2562952109195036,0.4533328830367324,0.38977208137512226,1.1613977551460266,1.380765974521637,1.5337000489234924,1.6720707416534424,0.0245290882885456,1.9585016965866089
d,middle_ring_tip_distance,0.24282296060520256,0.1228658369603997,0.13735305517911908,0.18123412504792208,0.22080222517251966,0.27600967139005655,0.3462009727954865,0.0139477225020527,1.1668701171875
d,ring_pinky_tip_distance,0.2856782467586213,0.2692679625323321,0.13949343711137766,0.16914833709597585,0.19704086333513254,0.24780882894992826,0.5508408546447754,0.0394464060664176,1.5767219066619873
d,thumb_middle_tip_distance,0.3393754951334719,0.18097347609895353,0.18983386605978006,0.2358990162611007,0.2950485199689865,0.3794257268309593,0.5311616003513338,0.0394058339297771,1.482873797416687
d,thumb_ring_tip_distance,0.41861072934136306,0.1873689303096837,0.25609212219715116,0.3031546100974083,0.38330505788326263,0.478963628411293,0.6178475677967071,0.0835938826203346,1.634332299232483
d,thumb_pinky_tip_distance,0.6476288143416931,0.34334273618323985,0.3786317646503448,0.43893393874168396,0.5529137849807739,0.6991448402404785,1.0824167132377631,0.1258549690246582,2.015385627746582
e,thumb_cmc_angle,0.7743595375297331,0.04976389140838911,0.7144500012649733,0.7405733457815206,0.7728801477076178,0.8042653517174232,0.8391020477193345,0.6332155347600195,0.9659868103120832
e,thumb_mcp_angle,0.6321661052177098,0.07141107289395406,0.544547560541573,0.5875287040290464,0.6290516786722422,0.6766341025244242,0.7110732692054939,0.4227809784377845,0.983304932963121
e,thumb_ip_angle,0.7980507537583605,0.08308535334609536,0.685076522862575,0.7373535554262772,0.7998885418237452,0.859578725080117,0.9065966599200975,0.5372416687449892,0.9937047153766908
e,index_pip_angle,0.32720059809032265,0.10776615273118977,0.22936352169685545,0.2680368542714187,0.3118202082794309,0.3584365066975642,0.4159442402899663,0.1696397579746022,0.9869753691613028
e,index_dip_angle,0.8834601382136881,0.06931280782673199,0.8066620055204337,0.8565841351589658,0.8995738852665359,0.92865043725177,0.9448248730861283,0.4737855094807096,0.985291945519795
e,middle_pip_angle,0.24103597909730465,0.10715164863728999,0.15653220215049365,0.18649759591429482,0.221039954826174,0.2626148424838354,0.31448449819778707,0.0995382823412524,0.9780020595909168
e,middle_dip_angle,0.8687666479751367,0.06761321726836868,0.7934394005236238,0.8463137358677622,0.8880507842635783,0.9113794624480376,0.9250551977458159,0.48004401775977,0.99482520909385
e,ring_pip_angle,0.1727766523626298,0.11391015402280956,0.08311564657119676,0.1130758610576625,0.1485904810995873,0.1970532743506619,0.26737730681910826,0.0185854870830885,0.9841282787780016
e,ring_dip_angle,0.874426305630788,0.06912303162496423,0.7924836701215241,0.8534628629246725,0.8933924048540745,0.9193161985081564,0.9309278485955801,0.3677175181176187,0.978649836069092
e,pinky_pip_angle,0.21478113940737448,0.14569204597827443,0.07883653903317951,0.11779507325962729,0.1782771444277347,0.26570910129127084,0.39034940084345027,0.0089557825762349,0.9276107988402706
e,pinky_dip_angle,0.8583513617105339,0.09957436633483019,0.7270048166825234,0.8207409068529278,0.8864453225592189,0.9241601911461128,0.9488629228562867,0.3557167442410331,0.9835040802021836
e,thumb_index_tip_distance,0.50311805095604,0.10403085272439258,0.38775535225868224,0.44371284544467926,0.5010524392127991,0.5624881982803345,0.6145285487174988,0.1131374910473823,1.1530882120132446
